GEODB_OID,OBJECTID,PRORAGIS_I,PARK_ID,PARK_NAME,ADDRESS,CITY_MUNIC,COUNTY,STATE,STREET_NUM,STREET_NAM,STREET_TYP,ZIP_CODE,REFERENCE,REFERENCE_,PARK_ACRES,ACRE_SOURC,YEAR_OPEN,PARK_STATU,STATUS_COM,DEVELOPMEN,PARK_TYPE,SERVICE_AR,COUNCIL_DI,COUNCIL_00,MANAGEMENT,LAND_OWNER,LANDOWNER_,MANAGING_A,MANAGING00,UNIT,MODIFIED_B,MODIFIED_D,SHAPE_AREA,SHAPE_LEN
35,35,173,215,Murchison Pool,"7022 Hart Ln., Austin, Texas 78731",Austin,Travis,TX,7022,Hart,Ln.,78731,Other,Street Address,1.15258138,GIS Value,1973,Open,Undeveloped,Developed,Special,0-25 miles,10,Citywide,Special Use Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,50206.24414,912.0735347
36,36,268,313,Westenfield Neighborhood Park,"2008 Enfield Rd., Austin, Texas 78703",Austin,Travis,TX,2008,Enfield,Rd,78703,Other,Street Address,4.94370761,GIS Value,1937,Open,Undeveloped,Developed,Neighborhood,0-5 miles,10,1;2;3;4;5;7;8;9;10,Active Park,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,1,hardya,2.02E+13,215347.042,2456.140724
37,37,266,371,Zilker Nature Preserve,"301 Nature Center Dr., Austin, Texas 78746",Austin,Travis,TX,301,Nature Center,Dr,78746,Other,Street Address,77.39090711,GIS Value,1947,Open,Developed,Developed,Nature Preserve,0-25 miles,8,Citywide,Natural Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,3371134.429,9262.547633
38,38,257,289,Tarrytown Neighborhood Park,"2106 Tower Dr., Austin, Texas 78703",Austin,Travis,TX,2106,Tower,Dr,78703,Other,Street Address,2.2483171,GIS Value,1956,Open,Developed,Developed,Neighborhood,0-5 miles,10,1;3;4;5;7;8;9;10,Active Park,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,1,hardya,2.02E+13,97936.30107,1665.906556
39,39,261,315,Williamson Creek Central Greenbelt,"5120 S 1st St., Austin, Texas 78745",Austin,Travis,TX,5120,S 1st,St,78745,Other,Street Address,91.22899701,GIS Value,1989,Open_Restricted,Undeveloped,Undeveloped,Greenbelt,0-5 miles,2;3;5,1;2;3;5;8;9;10,Natural Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,1,hardya,2.02E+13,3973919.214,35791.08009
40,40,267,372,Veterans Pocket Park,"2200 Veterans Dr., Austin, Texas 78703",Austin,Travis,TX,2200,Veterans,Dr,78703,Other,Street Address,0.67361979,GIS Value,1956,Open,Planned,Undeveloped,Pocket,0-0.5 miles,10,8;9;10,Special Use Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,29342.76076,1220.360997
119,119,186,278,Springfield Neighborhood Park,"6604 E William Cannon Dr., Austin, Texas 78744",Austin,Travis,TX,6604,E William Cannon,Dr,78744,Other,Street Address,97.63470862,GIS Value,1943,Open,Undeveloped,Developed,Neighborhood,0-5 miles,2,2;3;5;9,Natural Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,1,hardya,2.02E+13,4252919.631,21773.32001
41,41,182,241,Pecan Springs School Park,"3312 Rogge Ln., Austin, Texas 78723",Austin,Travis,TX,3312,Rogge,Ln,78723,Other,Street Address,4.14967352,GIS Value,1976,Open,Developed,Developed,School,0-5 miles,1,1;2;3;4;7;9;10,Active Park,Austin Independent School District,School,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,180759.0556,2250.382662
42,42,248,274,South Boggy Creek Greenbelt,"7701 Circle S Rd., Austin, Texas 78745",Austin,Travis,TX,7701,Circle S,Rd,78745,Other,Street Address,8.54716954,GIS Value,1974,Open_Restricted,Undeveloped,Undeveloped,Greenbelt,0-5 miles,2,2;3;5;8;9,Natural Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,372313.2159,3442.965436
43,43,198,233,Onion Creek Wildlife Sanctuary,"4435 E SH 71, Austin, Texas 78617",Austin,Travis,TX,4435,E SH 71,,78617,Other,Street Address,178.4575747,GIS Value,1984,Open_Restricted,Undeveloped,Undeveloped,Nature Preserve,0-25 miles,2,Citywide,Natural Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,7773580.861,17165.38427
