FID,PRKID,PRKNAME,PRKADDR,STREETNO,STREETDIR,STREETNM,STREETTYPE,CITY,STATE,ZIP,PRKTYPE,PRKSTATUS,PRKDIST,PRKSIZE,PRKPHONE,PRKAGE,PRKADAACC,CITYCOUNCI,BOCC,PRKDATE,USERID,X,Y
1,MAYP,MAYERLING DRIVE NEIGHBORHOOD PARK,8420 LAWYERS RD,0,N,NO ADDRESS,RD,CHARLOTTE,NC,28227,NEIGHBORHOOD PARK,UNDEVELOPED,SOUTH,5.556,7048969808,0,0,District 6,District 6,2003-07-11T00:00:00.000Z,BLACKSR,1491199.032,527559.9466
2,MCCP,MCALPINE CREEK REGIONAL PARK,8711  MONROE RD,8711,S,MONROE,DR,CHARLOTTE,NC,28212,REGIONAL PARK,DEVELOPED,SOUTH,114.01,7046433405,0,0,District 7,District 5,2008-05-14T00:00:00.000Z,BLACKSR,1478221.489,514435.2479
3,MCDL,MCDOWELL NATURE PRESERVE,15222 YORK RD,15222,E,YORK,ST,CHARLOTTE,NC,28278,NATURE PRESERVE,DEVELOPED,SOUTH,1103.4,7045885224,0,0,District 2,District 1,1998-07-28T00:00:00.000Z,BLACKSR,1394658.325,495409.1143
4,MCIN,MCINTYRE HISTORIC SITE,5801 MCINTYRE AV,5801,S,MCINTYRE,RD,CHARLOTTE,NC,28216,SPECIAL FACILITY,DEVELOPED,NORTH,1.746,7043368096,0,0,District 2,District 3,1998-07-28T00:00:00.000Z,BLACKSR,1444071.116,573787.0603
5,MCKE,MCKEE ROAD COMMUNITY PARK,4201 MCKEE RD,4201,E,MCKEE,DR,CHARLOTTE,NC,28270,COMMUNITY PARK,DEVELOPED,SOUTH,20.574,7046433405,0,0,District 7,District 6,1998-10-07T00:00:00.000Z,BLACKSR,1474330.293,484449.0184
6,MDLC,MARION DIEHL CENTER,2219 TYVOLA RD,2219,W,TYVOLA,DR,CHARLOTTE,NC,28210,RECREATION CENTER,DEVELOPED,SOUTH,0,7045270237,0,0,District 6,District 2,1998-07-28T00:00:00.000Z,BLACKSR,1444043.062,518357.4088
7,MDLP,MARION DIEHL COMMUNITY PARK,2219 TYVOLA RD,2219,S,TYVOLA,ST,CHARLOTTE,NC,28210,COMMUNITY PARK,DEVELOPED,SOUTH,78.715,7046433405,0,0,District 6,District 2,1998-07-28T00:00:00.000Z,BLACKSR,1444856.921,517939.4751
8,MEMS,MEMORIAL STADIUM COMPLEX,310 N KINGS DR,310,N,KINGS,RD,CHARLOTTE,NC,28204,SPECIAL FACILITY,DEVELOPED,CENTRAL,12.258,7043362884,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR,1454012.645,539681.3376
9,MIDW,MIDWOOD NEIGHBORHOOD PARK,2100 WILHELMINA AV,2100,S,WILHELMINA,AV,CHARLOTTE,NC,28205,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,6.203,7043363367,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR,1461718.342,543588.4661
10,MLCP,MALLARD CREEK REGIONAL PARK,3001 JOHNSTON OEHLER RD,3001,W,JOHNSTON OEHLER,RD,CHARLOTTE,NC,28269,REGIONAL PARK,DEVELOPED,NORTH,310.049,7043368866,0,0,District 4,District 1,1998-07-28T00:00:00.000Z,BLACKSR,1475136.047,591434.3489
11,MLDC,MALLARD CREEK CENTER,2530 JOHNSTON OEHLER RD,2530,E,JOHNSTON OEHLER,RD,CHARLOTTE,NC,28269,RECREATION CENTER,DEVELOPED,NORTH,0,7045488234,0,0,District 4,District 1,1998-08-12T00:00:00.000Z,BLACKSR,1476076.814,589588.4636
12,MLKP,MARTIN LUTHER KING COMMUNITY PARK,2600 RAVENCROFT DR,2600,S,RAVENCROFT,DR,CHARLOTTE,NC,28208,COMMUNITY PARK,DEVELOPED,CENTRAL,29.131,7043531165,0,0,District 2,District 2,1998-07-28T00:00:00.000Z,BLACKSR,1441263.526,549621.5234
13,MORG,CHERRY NEIGHBORHOOD PARK,1509 BAXTER ST,1506,N,BAXTER,ST,CHARLOTTE,NC,28204,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,1.891,7043362884,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR,1452587.839,536529.0791
14,MSNW,MASON WALLACE COMMUNITY PARK,7301 MONROE RD,7301,S,MONROE,RD,CHARLOTTE,NC,28212,COMMUNITY PARK,DEVELOPED,SOUTH,30.397,7045684044,0,0,District 5,District 4,1998-07-28T00:00:00.000Z,BLACKSR,1475386.783,520579.8188
15,MTHC,METHODIST HOME CENTER,3200 SHAMROCK DR,3200,E,SHAMROCK,DR,CHARLOTTE,NC,28205,RECREATION CENTER,DEVELOPED,SOUTH,0,7045683363,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR,1470566.655,545365.6226
16,MTHP,METHODIST HOME NEIGHBORHOOD PARK,3200 SHAMROCK DR,3200,S,SHAMROCK,DR,CHARLOTTE,NC,28205,NEIGHBORHOOD PARK,DEVELOPED,SOUTH,10.453,7045684044,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR,1470197.225,544821.2385
17,NAOM,NAOMI DRENAN CENTER,750 BEAL ST,750,N,BEAL,ST,CHARLOTTE,NC,28211,RECREATION CENTER,DEVELOPED,SOUTH,0,7043651265,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR,1463337.094,529089.2928
18,NATM,FREEDOM PARK NATURE MUSEUM,1658 STERLING RD,1658,S,STERLING,RD,CHARLOTTE,NC,28209,SPECIAL FACILITY,DEVELOPED,CENTRAL,0,7043726261,0,0,District 1,District 5,1998-07-28T00:00:00.000Z,BLACKSR,1449490.063,528492.2097
19,NCPK,NORTH CHARLOTTE NEIGHBORHOOD PARK,901 HERRIN AV,901,E,HERRIN,AV,CHARLOTTE,NC,28205,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,3.056,7043363367,0,0,District 1,District 3,1998-07-28T00:00:00.000Z,BLACKSR,1463246.293,549329.7604
20,NEVN,NEVIN REGIONAL PARK,6000 STATESVILLE RD,6000,S,STATESVILLE,RD,CHARLOTTE,NC,28269,REGIONAL PARK,DEVELOPED,NORTH,196.981,7043368866,0,0,District 2,District 3,2000-12-11T00:00:00.000Z,BLACKSR,1451062.726,569907.1809
21,NEWP,NEWELL COMMUNITY PARK,9130 NEWELL BAPTIST CHURCH RD,9130,N,NEWELL BAPTIST CHURCH,RD,CHARLOTTE,NC,28213,COMMUNITY PARK,DEVELOPED,NORTH,29.767,7043368866,0,0,District 4,District 1,1998-08-12T00:00:00.000Z,BLACKSR,1481887.603,562882.6856
22,NINT,NINTH STREET NEIGHBORHOOD PARK,417 W 9TH ST,417,E,9TH,ST,CHARLOTTE,NC,28202,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,0.255,7043363367,0,0,District 2,District 3,1998-07-28T00:00:00.000Z,BLACKSR,1450224.243,545218.4455
23,NMPK,NORTH MECKLENBURG COMMUNITY PARK,16131 OLD STATESVILLE RD,16131,E,OLD STATESVILLE,RD,HUNTERSVILLE,NC,28078,COMMUNITY PARK,DEVELOPED,NORTH,96.228,7048969808,0,0,District 7,District 1,1998-07-28T00:00:00.000Z,BLACKSR,1450882.61,617708.2166
24,OAKT,OAKHURST NEIGHBORHOOD PARK,3500 CRAIG AV,3500,S,CRAIG,RD,CHARLOTTE,NC,28211,NEIGHBORHOOD PARK,DEVELOPED,SOUTH,5.133,7046433405,0,0,District 2,District 4,1998-07-28T00:00:00.000Z,BLACKSR,1465243.521,529418.2121
25,OEHP,OEHLER NATURE PRESERVE,HUNTERSVILLE-CONCORD RD,0,S,NO ADDRESS,DR,CHARLOTTE,NC,28078,NATURE PRESERVE,UNDEVELOPED,NORTH,144.766,7045684044,0,0,District 7,District 1,2003-07-11T00:00:00.000Z,BLACKSR,1463392.242,610821.6574
26,OLDP,OLDE PROVIDENCE COMMUNITY PARK,3800 REA RD,3800,W,REA,ST,CHARLOTTE,NC,28226,COMMUNITY PARK,DEVELOPED,SOUTH,39.326,7043651265,0,0,District 2,District 6,1998-07-28T00:00:00.000Z,BLACKSR,1462435.265,499865.5259
27,PALC,POLICE ATHLETIC LEAGUE CENTER,800 OAKLAWN AV,800,E,OAKLAWN,RD,CHARLOTTE,NC,28206,RECREATION CENTER,DEVELOPED,CENTRAL,0,7043726261,0,0,District 2,District 2,1998-08-12T00:00:00.000Z,BLACKSR,1451555.981,549443.8622
28,WEAC,WESTMORELAND REGIONAL PARK,17702 WEST CATAWBA AV,0,S, ,DR,HUNTERSVILLE,NC,28078,REGIONAL PARK,UNDEVELOPED,NORTH,126.868,7043363367,0,0,District 6,District 1,2008-04-21T00:00:00.000Z,BLACKSR,1437644.468,626468.3522
29,PENC,HICKORY GROVE NEIGHBORHOOD PARK,6709 PENCE RD,6709,W,PENCE,DR,CHARLOTTE,NC,28227,NEIGHBORHOOD PARK,DEVELOPED,SOUTH,11.433,7043368866,0,0,District 7,District 1,2003-07-11T00:00:00.000Z,BLACKSR,1487119.932,541516.1581
30,PERL,PEARLE STREET NEIGHBORHOOD PARK,1108 BAXTER ST,1108,E,BAXTER,ST,CHARLOTTE,NC,28204,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,8.386,7043368866,0,0,District 2,District 4,1998-07-28T00:00:00.000Z,BLACKSR,1451279.423,537338.7199
31,PKRD,PARK ROAD COMMUNITY PARK,6220 PARK RD,6220,S,PARK,RD,CHARLOTTE,NC,28210,COMMUNITY PARK,DEVELOPED,SOUTH,71.473,7043363367,0,0,District 2,District 5,1999-05-07T00:00:00.000Z,BLACKSR,1447014.845,513334.3738
32,PKTN,PARK ROAD TENNIS FACILITY,6215 PARK RD,6215,N,PARK,AV,CHARLOTTE,NC,28210,SPECIAL FACILITY,DEVELOPED,SOUTH,17.989,7048969808,0,0,District 6,District 5,1998-07-28T00:00:00.000Z,BLACKSR,1447096.368,513335.8302
33,PNVP,PINEVILLE COMMUNITY PARK,1310 LAKEVIEW DR,0,S,NO ADDRESS,RD,PINEVILLE,NC,28134,COMMUNITY PARK,UNDEVELOPED,SOUTH,39.975,7046433405,0,0,District 7,District 6,1998-09-18T00:00:00.000Z,BLACKSR,1431565.441,488079.8865
34,PRES,PRESSLEY ROAD NEIGHBORHOOD PARK,1500 PRESSLEY RD,1500,N,PRESSLEY,RD,CHARLOTTE,NC,28217,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,5.954,7043363367,0,0,District 2,District 2,1998-07-28T00:00:00.000Z,BLACKSR,1434818.714,531932.1646
35,PROG,PROGRESS NEIGHBORHOOD PARK,1301 PARKWOOD AV,1301,N,PARKWOOD,AV,CHARLOTTE,NC,28205,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,0.658,7048969808,0,0,District 1,District 3,1998-07-28T00:00:00.000Z,BLACKSR,1458838.967,544717.0293
36,PROS,PROSPERITY CHURCH NEIGHBORHOOD PARK,12537 DEARMON RD,0,S,NO ADDRESS,RD,CHARLOTTE,NC,28269,NEIGHBORHOOD PARK,UNDEVELOPED,NORTH,1.189,7046433405,0,0,District 4,District 1,2003-07-11T00:00:00.000Z,BLACKSR,1467133.828,592813.1914
37,RAMA,RAMA ROAD NEIGHBORHOOD PARK,1035 RAMA RD,1035,W,RAMA,DR,CHARLOTTE,NC,28211,NEIGHBORHOOD PARK,DEVELOPED,SOUTH,14.437,7046433405,0,0,District 5,District 5,1998-07-28T00:00:00.000Z,BLACKSR,1470547.472,521016.3727
38,RAMS,RAMSEY CREEK COMMUNITY PARK,18441  NANTZ RD,18441,S,NANTZ,ST,CORNELIUS,NC,28078,COMMUNITY PARK,DEVELOPED,NORTH,45.47,7048969808,0,0,District 7,District 1,2008-05-14T00:00:00.000Z,BLACKSR,1435541.461,629694.5393
39,RAND,RANDOLPH ROAD COMMUNITY PARK,201 BILLINGSLEY RD,201,W,BILLINGSLEY,RD,CHARLOTTE,NC,28205,COMMUNITY PARK,DEVELOPED,CENTRAL,30.437,7043362884,0,0,District 2,District 4,1998-07-28T00:00:00.000Z,BLACKSR,1459459.577,529232.8006
